Date,IDFirm,Volume,Value,Frequency
2022-11-24,SH,2095319224.0,116397769524.0,18009.0
2022-11-24,SQ,815299510.0,311573213650.0,32469.0
2022-11-24,SS,66739052.0,60302544720.0,528.0
2022-11-24,TF,647400900.0,34380288500.0,9775.0
2022-11-24,TP,485029060.0,165241311280.0,13300.0
2022-11-24,TS,594096500.0,168948906700.0,10917.0
2022-11-24,XA,320492700.0,89981880400.0,17068.0
2022-11-24,XC,1500148400.0,335158714800.0,138545.0
2022-11-24,XL,903394938.0,150126205038.0,65592.0
2022-11-24,YB,910037800.0,297003684200.0,37234.0
2022-11-24,YJ,1284367000.0,225252000700.0,32449.0
2022-11-24,YO,1349500.0,197625000.0,77.0
2022-11-24,YP,5716697968.0,1648577718380.0,347815.0
2022-11-24,YU,1243893040.0,718982372910.0,46664.0
2022-11-24,ZP,8566667506.0,855069906654.0,61052.0
2022-11-24,ZR,78998800.0,41576770200.0,4196.0
